iso_alpha3,year,labor_income_share_pct,working_poverty_rate,youth_unemployment_rate,youth_lfp_rate
AFG,2000,,,7.897,37.344
AFG,2001,,,7.973,37.259
AFG,2002,,,7.867,37.215
AFG,2003,,,7.844,37.213
AFG,2004,42.64,,7.794,37.26
AFG,2005,41.847,,7.878,37.354
AFG,2006,42.211,,7.897,37.49
AFG,2007,41.502,,7.841,37.674
AFG,2008,42.157,,7.879,37.892
AFG,2009,40.654,,7.808,38.122
AFG,2010,40.958,,7.809,38.356
AFG,2011,41.817,,7.83,38.576
AFG,2012,40.761,,7.875,38.789
AFG,2013,41.164,,7.921,38.889
AFG,2014,41.274,,7.915,38.99
AFG,2015,41.271,,9.032,39.09
AFG,2016,41.114,,10.116,39.19
AFG,2017,40.967,,11.184,39.29
AFG,2018,41.067,,11.192,39.386
AFG,2019,40.851,,11.187,39.439
AFG,2020,40.252,,11.71,33.983
AFG,2021,40.176,,12.006,38.464
AFG,2022,41.456,,14.1,38.158
AFG,2023,40.762,,14.008,38.006
AFG,2024,40.823,,13.687,37.933
AFG,2025,40.771,,13.351,37.757
AGO,2000,,25.783,16.646,58.003
AGO,2001,,26.502,16.668,57.855
AGO,2002,,25.724,16.432,57.704
AGO,2003,,26.903,16.445,57.555
AGO,2004,45.122,26.571,16.313,57.418
AGO,2005,37.795,24.863,16.295,57.312
AGO,2006,38.387,23.617,16.123,57.239
AGO,2007,39.48,21.515,16.066,57.192
AGO,2008,41.522,20.221,16.152,57.186
AGO,2009,59.971,21.992,16.383,57.212
AGO,2010,46.363,23.485,16.595,57.237
AGO,2011,46.131,23.909,16.77,57.634
AGO,2012,44.074,23.721,16.539,57.232
AGO,2013,41.439,24.096,16.464,56.828
AGO,2014,38.235,23.434,16.372,56.423
AGO,2015,45.851,25.509,16.472,56.018
AGO,2016,42.473,28.921,16.572,55.612
AGO,2017,43.11,31.79,16.617,55.204
AGO,2018,43.953,34.773,16.602,54.797
AGO,2019,43.994,36.067,16.497,54.388
AGO,2020,44.333,38.389,16.696,51.727
AGO,2021,43.674,39.023,15.799,54.553
AGO,2022,44.005,39.101,14.124,53.495
AGO,2023,44.294,39.713,14.051,54.221
AGO,2024,43.598,40.022,14.02,54.165
AGO,2025,43.971,40.096,14.108,54.089
ALB,2000,,2.273,19.023,53.296
ALB,2001,,2.427,18.57,51.196
ALB,2002,,2.529,17.891,50.117
ALB,2003,,2.122,16.985,47.175
ALB,2004,43.795,1.608,16.306,44.247
ALB,2005,43.682,1.654,15.966,41.354
ALB,2006,43.669,0.715,15.626,38.513
ALB,2007,43.776,0.128,15.966,35.744
ALB,2008,43.982,0.1,13.06,33.064
ALB,2009,45.045,0.062,13.674,34.629
ALB,2010,45.123,0.192,14.086,33.604
ALB,2011,44.88,0.815,13.481,44.1
ALB,2012,44.683,0.751,13.376,36.163
ALB,2013,44.36,1.856,15.866,27.531
ALB,2014,44.181,2.081,18.055,28.934
ALB,2015,44.24,0.164,17.193,31.266
ALB,2016,43.871,0.289,15.418,31.629
ALB,2017,43.899,0.46,13.616,31.585
ALB,2018,43.813,0.172,12.304,35.672
ALB,2019,44.136,0.1,11.466,36.596
ALB,2020,45.55,0.1,11.639,35.654
ALB,2021,43.166,0.1,11.474,36.228
ALB,2022,44.221,0.1,10.785,38.3
ALB,2023,44.359,0.1,10.669,39.084
ALB,2024,44.355,0.1,10.689,39.132
