iso_alpha3,year,education_expenditure_pct_gdp,health_expenditure_pct_gdp,social_protection_spending,social_safety_net_coverage
ABW,2000,4.71468019485474,,,
ABW,2001,4.79898023605347,,,
ABW,2002,4.87220001220703,,,
ABW,2004,4.35698986053467,,,
ABW,2005,4.62321996688843,,,
ABW,2007,4.70254993438721,,,
ABW,2008,4.82730007171631,,,
ABW,2009,5.79739999771118,,,
ABW,2010,6.75109004974365,,,
ABW,2011,5.91466999053955,,,
ABW,2012,6.3472900390625,,,
ABW,2013,6.44295978546143,,,
ABW,2014,5.85128021240234,,,
ABW,2015,5.88826990127563,,,
ABW,2016,5.49136018753052,,,
ABW,2017,4.45581996127504,,,
ABW,2018,4.54876355243615,,,
ABW,2019,4.43503686776957,,,
ABW,2021,3.61855755636695,,,
AFE,2000,3.60612988471985,5.65752277451423,2.07480836325694,
AFE,2001,4.34167003631591,5.80326727984876,2.03201637394063,
AFE,2002,,5.40821268568738,1.9127310898034,
AFE,2003,,5.98967011756469,2.32584071234405,
AFE,2004,3.74495005607605,6.06992747717165,2.32944021182086,
AFE,2005,3.85834002494812,5.90898113167837,2.27476310472412,
AFE,2006,3.7359299659729,5.91115801457883,2.47211994090449,
AFE,2007,,5.92511439500902,2.52499109661674,
AFE,2008,4.28008008003235,5.80185375223004,2.45238983549063,
AFE,2009,,6.31345663525453,2.74734867247968,
AFE,2010,4.02403008937836,6.3598728238239,2.80083539720603,
AFE,2011,4.63901452250474,6.27098425337699,2.79462329401432,
AFE,2012,4.67612504959106,6.07553235436947,2.73582989870811,
AFE,2013,4.63769446369719,6.06326573940287,2.62592123235301,
AFE,2014,4.65965986251831,5.71333425759159,2.62505263151567,
AFE,2015,4.73791868878759,5.89167008074868,2.67971494433485,
AFE,2016,4.69199991226196,6.01403640033509,2.74208699626195,
AFE,2017,4.5962700843811,5.86588226298921,2.73600482718679,
AFE,2018,4.9091899394989,5.73062852507169,2.72570294751678,
AFE,2019,4.51140984355031,5.7558901923726,2.73567553327344,
AFE,2020,4.0905654220699,5.98459697196561,3.1387376262421,
AFE,2021,4.36837948133246,5.94259456421002,3.08059075645484,24.01149559021
AFE,2022,3.69766802106406,5.55902129039591,2.74728133485323,
AFE,2023,3.96229304413263,5.54080975848282,2.69883179761905,
AFG,2002,,9.44339085,0.08418062,
AFG,2003,,8.94125843,0.65096337,
AFG,2004,,9.80847359,0.54292566,
AFG,2005,,9.94828892,0.5291841,
AFG,2006,,10.62276554,0.49784002,
AFG,2007,,9.90467453,0.55994755,15.7331125648943
AFG,2008,,10.25649548,0.62779975,
AFG,2009,,9.81848717,0.53190351,
AFG,2010,3.4794499874115,8.56967163,0.46915731,
AFG,2011,3.4620099067688,8.56190777,0.47999981,8.82058232654446
AFG,2012,2.60420989990234,7.89716864,0.34288675,
AFG,2013,3.45445990562439,8.80596447,0.44335932,
AFG,2014,3.69521999359131,9.52887821,0.47265697,
AFG,2015,3.25578999519348,10.10534763,0.52267277,
AFG,2016,4.5439600944519,11.81859016,0.60012972,
AFG,2017,4.34319019317627,12.62081718,0.64313394,
AFG,2018,,14.20841885,0.55239552,
AFG,2019,,14.83131981,0.49705607,
AFG,2020,,15.53361416,1.18621242,
AFG,2021,,21.50844383,0.71036398,
AFG,2022,,23.0881691,0.18147056,
AFG,2023,,14.9857626,0.24774949,
AFW,2000,2.46335005760193,3.43757730828204,0.696879546604546,
AFW,2001,2.36509990692139,3.43627952626786,0.855214577100921,
AFW,2002,2.34950995445252,3.09582574879305,0.684064616676621,
AFW,2003,2.35525989532471,4.43612199959233,0.917051106044699,
AFW,2004,2.24505507946014,4.26952591852614,1.07706997872024,
AFW,2005,2.44700992107391,4.12261312394254,1.05319387761381,
AFW,2006,2.55851006507873,4.03887465403474,0.938377083734918,
AFW,2007,,3.81897623428846,0.847815736038644,
AFW,2008,2.49826002120972,3.63072424603041,0.767015141772623,
AFW,2009,2.90790009498596,3.73365983830459,0.767048467529496,
AFW,2010,2.7219500541687,3.49414443704409,0.684518900204214,
AFW,2011,2.65335988998413,3.4773380915026,0.706785950634921,
AFW,2012,2.68840026027393,3.45159999875065,0.72308299560876,
AFW,2013,2.70691990852356,3.5810361563881,0.72077625645611,
AFW,2014,2.66667008399963,3.59914408938253,0.651210902547373,
AFW,2015,3.13882994651794,3.81020499573204,0.742713444156151,
AFW,2016,2.57739496231079,3.8027557657234,0.721870677963045,
AFW,2017,3.12012994289398,3.73266812536803,0.799872170682834,
AFW,2018,3.00657498836517,3.28862221030402,0.744825549457975,
AFW,2019,3.00001001358032,3.25093608157437,0.727961933468943,
AFW,2020,3.3367600440979,3.7884435601391,0.902921014711324,
AFW,2021,3.09692638090381,4.13562161186507,0.909341818849809,20.9139060974121
AFW,2022,2.89168744551701,4.17449597524121,0.916696263397926,
AFW,2023,3.21562023947166,4.14322505750462,0.956329000337115,
AGO,2000,2.60753011703491,1.68525279,0.98097837,
AGO,2001,,3.95882654,1.80684185,
AGO,2002,,2.9398222,1.15548134,
AGO,2003,,3.10680342,1.28335834,
AGO,2004,,3.46084046,1.4713583,
AGO,2005,2.12011003494263,2.54726577,1.14204562,
AGO,2006,2.28146004676819,2.39833426,1.28968012,
AGO,2007,,2.65790844,1.53876388,
AGO,2008,,2.97807598,1.91652381,
AGO,2009,,3.30655909,2.23769045,
AGO,2010,3.42131996154785,2.36373854,1.46826649,
AGO,2011,,2.35561895,1.52542961,
AGO,2012,3.08191085718142,2.13677311,1.39434171,
AGO,2013,4.43894951297476,2.4297719,1.5071826,
AGO,2014,,2.15680027,1.16797769,
AGO,2015,3.48689580393413,2.29966879,1.08924341,
AGO,2016,2.75493664582725,2.39068723,1.05520773,
AGO,2017,2.46687881104886,2.4379425,1.12824702,
AGO,2018,2.18351298946275,2.29887486,0.97981894,10.334349168176
AGO,2019,2.07306438181603,2.20394278,1.00303984,
AGO,2020,2.66744733689285,2.81688905,1.46055436,
AGO,2021,2.29719689513241,2.73987103,1.51676536,
AGO,2022,2.38535898416633,2.60041046,1.30711842,
AGO,2023,2.51273663315785,2.54692864,1.1340301,
ALB,2000,3.3304500579834,5.87429667,2.73330545,
ALB,2001,3.34198999404907,5.8561573,2.72089767,
