iso_alpha3,avg_hisi,cluster,n_years
ISL,88.51880759647422,The Wins,26
SVN,88.12056785755752,The Wins,26
BEL,85.32336663531802,The Wins,26
DNK,82.79154587287098,The Wins,26
NLD,78.87666657657772,The Wins,26
FIN,75.5834744021698,The Wins,26
SWE,75.35842833646021,The Wins,26
AUT,75.00529271797151,The Wins,26
CZE,74.99076469152861,The Adapters,26
MDA,74.9629828614754,The Adapters,26
CHE,74.6610324771722,The Wins,26
UKR,74.51271604538766,The Adapters,26
DEU,74.39973549191453,The Wins,26
IND,74.26308700558056,The Adapters,26
FRA,73.04720090664689,The Wins,26
HRV,70.48942373572058,The Adapters,26
SVK,69.65241418993584,The Adapters,26
CAN,69.30606429583793,The Wins,26
VUT,68.80478467742502,The Falls,26
BLR,66.96323589914978,The Adapters,26
NOR,66.62526698005567,The Wins,26
NGA,65.66215794581097,The Falls,26
ESP,65.23843528446125,The Wins,26
BIH,65.20752398524868,The Falls,26
AUS,64.96915855497174,The Wins,26
GBR,63.73977721244405,The Wins,26
PRI,62.4308559016805,The Adapters,26
ITA,62.102955291779615,The Wins,26
HUN,62.03072368799561,The Adapters,26
PRT,61.76639666581692,The Wins,26
EST,60.7960125304624,The Wins,26
JPN,60.79391376782859,The Wins,26
MLT,60.74460457342237,The Adapters,26
NZL,60.56392563347329,The Wins,26
SRB,60.31033013231164,The Adapters,26
FRO,59.27297595234574,The Wins,25
VIR,59.2171332263719,The Adapters,26
GRC,59.0810063231783,The Adapters,26
IDN,59.012398044846385,The Falls,26
TUV,58.64697266602507,The Wins,24
CYP,58.47822600007986,The Adapters,26
KOR,58.37992365208676,The Wins,26
GRL,58.08490771148289,The Wins,24
LSO,57.996200648478755,The Falls,26
LUX,57.890001274073306,The Wins,26
USA,57.56967769953565,The Wins,26
POL,57.046061293134656,The Adapters,26
ARM,57.02213206424489,The Falls,26
PAK,56.85735941413522,The Falls,26
NCL,56.23365809920829,The Wins,26
HKG,55.980806664666844,The Adapters,26
MNE,55.95925288638046,The Adapters,26
GUM,55.830174039059436,The Wins,26
KIR,55.55243629040092,The Wins,25
BRB,55.2612870330818,The Adapters,26
LVA,55.024536542993346,The Adapters,26
TLS,54.29899746188611,The Falls,26
IMN,54.00701224650748,The Wins,23
NPL,52.64065741303883,The Falls,26
GUY,52.62261544741323,The Falls,26
PYF,52.09451640374004,The Adapters,26
ZWE,52.04980221268807,The Falls,26
ALB,51.33662866325999,The Falls,26
BTN,51.22668303927252,The Falls,26
KAZ,51.1532044953794,The Falls,26
AFG,51.10822360063746,The Falls,26
JAM,50.62343733080251,The Adapters,26
SLB,50.387907529049095,The Falls,26
BGD,50.38601890030721,The Falls,26
IRL,50.343675562994584,The Wins,26
SXM,49.8877525734447,The Adapters,19
MNP,49.78106334398143,The Adapters,21
CUW,49.775476418289834,The Adapters,25
XKX,49.71623510945488,The Falls,22
PSE,49.4293417543451,The Falls,25
TON,48.72115670768652,The Falls,26
LAO,48.573355970933456,The Falls,26
MAF,48.54704342920891,The Adapters,9
STP,48.37555220828085,The Falls,26
ABW,48.326750621239356,The Adapters,25
MMR,48.05736590448123,The Falls,26
MKD,48.03911453445133,The Falls,26
LTU,48.03586127789252,The Adapters,26
TUN,48.033240133623266,The Falls,26
NRU,47.769450115569974,The Wins,25
VNM,47.722621031082696,The Falls,26
KGZ,46.912838235122656,The Falls,26
UZB,46.902692652513075,The Falls,26
BGR,46.832913073248406,The Adapters,26
ASM,46.55988582445242,The Adapters,21
MHL,46.332891155264235,The Wins,25
