iso_alpha3,year,hisi_score,cluster_raw,cluster_label
ABW,2000,52.47302333384022,1,The Adapters
ABW,2001,49.13252755372411,1,The Adapters
ABW,2002,47.76418929707537,1,The Adapters
ABW,2003,50.914433054661416,2,The Falls
ABW,2004,57.906074708992485,1,The Adapters
ABW,2005,47.31906535935199,1,The Adapters
ABW,2006,50.84164731126233,2,The Falls
ABW,2007,43.79640323262609,1,The Adapters
ABW,2008,49.552776450125236,1,The Adapters
ABW,2009,48.5992048186704,1,The Adapters
ABW,2010,51.600829316519814,1,The Adapters
ABW,2011,41.877854744445585,1,The Adapters
ABW,2012,48.93953634334771,1,The Adapters
ABW,2013,55.051922152207254,1,The Adapters
ABW,2014,44.61081598219612,1,The Adapters
ABW,2015,55.47825945345311,1,The Adapters
ABW,2016,55.10962642498224,1,The Adapters
ABW,2017,45.63906210525182,1,The Adapters
ABW,2018,43.18543308765769,1,The Adapters
ABW,2019,54.62976220932345,1,The Adapters
ABW,2020,47.67864607569055,1,The Adapters
ABW,2021,42.958810365406386,1,The Adapters
ABW,2022,38.90242417579775,2,The Falls
ABW,2023,48.18486079589773,1,The Adapters
ABW,2024,36.021577178476996,1,The Adapters
AFE,2000,41.59621937430026,2,The Falls
AFE,2001,41.842844557697674,2,The Falls
AFE,2002,40.03661081123811,2,The Falls
AFE,2003,44.765962259677174,2,The Falls
AFE,2004,39.5809281074859,2,The Falls
AFE,2005,39.00419317629885,2,The Falls
AFE,2006,38.918727831327104,2,The Falls
AFE,2007,39.250171947701375,2,The Falls
AFE,2008,37.67333848262,2,The Falls
AFE,2009,40.06342931617709,2,The Falls
AFE,2010,36.865953772540536,2,The Falls
AFE,2011,49.91458539155037,2,The Falls
AFE,2012,49.6842765136489,2,The Falls
AFE,2013,36.12349381559592,2,The Falls
AFE,2014,36.18814862518504,2,The Falls
AFE,2015,36.45575244368448,2,The Falls
AFE,2016,41.6356037189315,2,The Falls
AFE,2017,36.684679547929775,2,The Falls
AFE,2018,36.70243140355684,2,The Falls
AFE,2019,36.29127631712576,2,The Falls
AFE,2020,40.88135458977719,2,The Falls
AFE,2021,37.83293415252337,2,The Falls
AFE,2022,36.054974227947305,2,The Falls
AFE,2023,36.740874221334074,2,The Falls
AFE,2024,36.10260039959691,2,The Falls
AFE,2025,36.04997817176046,2,The Falls
AFG,2000,39.83622739644298,2,The Falls
AFG,2001,45.03152752016953,2,The Falls
AFG,2002,49.93901850293317,2,The Falls
AFG,2003,53.08307403883846,2,The Falls
AFG,2004,48.250401494909504,2,The Falls
AFG,2005,51.45075707632645,2,The Falls
AFG,2006,54.72513838342604,2,The Falls
AFG,2007,48.2925251213788,2,The Falls
AFG,2008,49.89604811207222,2,The Falls
AFG,2009,46.59138054152362,2,The Falls
AFG,2010,50.213742876678936,2,The Falls
AFG,2011,50.87339334079719,2,The Falls
AFG,2012,48.6934069209701,2,The Falls
AFG,2013,50.05855180045069,2,The Falls
AFG,2014,50.22820787389378,2,The Falls
AFG,2015,51.03771193779877,2,The Falls
AFG,2016,53.94751129559202,2,The Falls
AFG,2017,54.14678814430862,2,The Falls
AFG,2018,51.91381162151947,2,The Falls
AFG,2019,52.096832645706115,2,The Falls
AFG,2020,52.686530409633804,2,The Falls
AFG,2021,54.61948452943174,0,The Wins
AFG,2022,60.98431350128263,0,The Wins
AFG,2023,53.37967838705866,2,The Falls
AFG,2024,53.445972751182325,2,The Falls
AFG,2025,53.39177739224834,2,The Falls
AFW,2000,36.498898807115104,2,The Falls
AFW,2001,38.60540819315077,2,The Falls
AFW,2002,38.33992093521726,2,The Falls
AFW,2003,37.45024857415944,2,The Falls
AFW,2004,39.290859028266574,2,The Falls
AFW,2005,36.26855702719716,2,The Falls
AFW,2006,33.93826957070809,2,The Falls
AFW,2007,33.690119294329854,2,The Falls
AFW,2008,27.197043030287087,2,The Falls
AFW,2009,32.91268073446958,2,The Falls
AFW,2010,29.614648897664864,2,The Falls
AFW,2011,35.62333481375677,2,The Falls
AFW,2012,31.748309256733958,2,The Falls
AFW,2013,31.980218345580074,2,The Falls
AFW,2014,34.84557069683329,2,The Falls
AFW,2015,36.36535725687162,2,The Falls
AFW,2016,30.688363258181095,2,The Falls
AFW,2017,30.65270391081817,2,The Falls
AFW,2018,43.63032879133893,2,The Falls
AFW,2019,34.8577438980653,2,The Falls
AFW,2020,34.51969089070659,2,The Falls
AFW,2021,31.842585684649112,2,The Falls
AFW,2022,32.47627187141136,2,The Falls
AFW,2023,36.282852117019615,2,The Falls
AFW,2024,37.05217974584855,2,The Falls
AFW,2025,37.00826965532749,2,The Falls
AGO,2000,17.944259304287183,2,The Falls
AGO,2001,26.69454062346533,2,The Falls
AGO,2002,25.78235602652302,2,The Falls
AGO,2003,25.650302229757877,2,The Falls
AGO,2004,32.47131907924886,2,The Falls
AGO,2005,24.382468118725477,1,The Adapters
AGO,2006,25.831488302712803,2,The Falls
AGO,2007,27.321563547723056,2,The Falls
AGO,2008,29.795114869166156,2,The Falls
AGO,2009,46.59157057941419,2,The Falls
AGO,2010,34.56288948942124,2,The Falls
AGO,2011,34.02988817391568,2,The Falls
AGO,2012,38.84674497753749,2,The Falls
AGO,2013,39.90744168741951,1,The Adapters
AGO,2014,32.113210634233674,1,The Adapters
AGO,2015,29.688592447071155,2,The Falls
AGO,2016,27.445563961413104,2,The Falls
AGO,2017,26.652719297876516,2,The Falls
